gap_nm,width_um,delta_neff,L_50_um,L_75_um,L_90_um,neff_1,neff_2
100.0,0.75,0.064108,6.0440000000000005,8.059000000000001,9.613,1.5922e+00+6.3285e-08i,1.5281e+00-1.5992e-07i
100.0,1.0,0.061844,6.266,8.354,9.965,1.6190e+00+2.8368e-08i,1.5572e+00-1.0312e-08i
100.0,1.25,0.039858,9.722,12.959999999999999,15.46,1.6352e+00+8.9366e-09i,1.5953e+00+2.3467e-08i
100.0,1.5,0.026966,14.37,19.16,22.85,1.6457e+00+1.6043e-09i,1.6187e+00+6.6512e-09i
200.0,0.75,0.054866,7.063,9.417,11.229999999999999,1.5756e+00+1.3600e-08i,1.5208e+00-1.3754e-06i
200.0,1.0,0.043418,8.925,11.9,14.19,1.6061e+00+5.4876e-08i,1.5627e+00+9.6818e-09i
200.0,1.25,0.026826,14.440000000000001,19.259999999999998,22.97,1.6254e+00+2.2061e-08i,1.5986e+00+2.1806e-08i
200.0,1.5,0.017516,22.12,29.5,35.18,1.6383e+00+7.5581e-09i,1.6208e+00+5.8370e-09i
300.0,0.75,0.050371,7.6930000000000005,10.26,12.23,1.5657e+00-1.1485e-07i,1.5153e+00-2.4337e-06i
300.0,1.0,0.031369,12.35,16.47,19.65,1.5987e+00+6.8882e-08i,1.5673e+00+2.2062e-08i
300.0,1.25,0.018774,20.64,27.52,32.82,1.6201e+00+3.1516e-08i,1.6013e+00+2.0490e-08i
300.0,1.5,0.01197,32.37,43.16,51.480000000000004,1.6345e+00+1.1665e-08i,1.6225e+00+5.2490e-09i
500.0,0.75,0.032048,12.09,16.12,19.23,1.5544e+00-3.8439e-07i,1.5223e+00-8.7242e-08i
500.0,1.0,0.016869,22.97,30.630000000000003,36.529999999999994,1.5907e+00+7.2102e-08i,1.5738e+00+3.4291e-08i
500.0,1.25,0.0095684,40.5,54.0,64.39999999999999,1.6147e+00+4.1644e-08i,1.6052e+00+1.9309e-08i
500.0,1.5,0.0058838,65.86,87.81,104.7,1.6308e+00+1.5989e-08i,1.6249e+00+4.7495e-09i
750.0,0.75,0.016756,23.13,30.830000000000002,36.779999999999994,1.5473e+00-5.5637e-07i,1.5306e+00-2.0689e-07i
750.0,1.0,0.0079574,48.699999999999996,64.93,77.44,1.5862e+00+6.0005e-08i,1.5782e+00+4.1793e-08i
750.0,1.25,0.004239,91.41,121.89999999999999,145.4,1.6119e+00+4.5303e-08i,1.6077e+00+1.9966e-08i
750.0,1.5,0.0025052,154.7,206.2,246.00000000000003,1.6289e+00+1.7588e-08i,1.6264e+00+5.0072e-09i
1000.0,0.75,0.008934,43.37,57.83,68.97999999999999,1.5438e+00-5.8601e-07i,1.5348e+00-2.4526e-07i
1000.0,1.0,0.0038144,101.60000000000001,135.5,161.6,1.5841e+00+4.7166e-08i,1.5803e+00+4.7397e-08i
1000.0,1.25,0.0019082,203.1,270.8,322.9,1.6107e+00+4.4767e-08i,1.6088e+00+2.2003e-08i
1000.0,1.5,0.0010848,357.2,476.29999999999995,568.1,1.6282e+00+1.7478e-08i,1.6271e+00+5.9085e-09i
